"Category","Operation_Name","HTTP_Method","Endpoint_Path","Description","Tool_Name","Tool_Group","Priority_Order","Prompt_Text","Resource_Description","Parameters_Summary","Response_Type","Test_Steps"
"Workflow","createWorkflow","POST","/workflows","Create a workflow in your instance.","n8n-workflow-create","workflow","1","Create a new workflow in n8n with the provided data.","Resource for workflow management.","body: workflow definition","workflow","1. Validate inputs. 2. Create workflow. 3. Verify response."
"Workflow","getWorkflows","GET","/workflows","Retrieve all workflows from your instance.","n8n-workflows-list","workflow","2","List all workflows in n8n.","Resource for workflow management.","query: limit, cursor, projectId","workflowList","1. Call with optional filters. 2. Check list returned. 3. Paginate if needed."
"Workflow","getWorkflow","GET","/workflows/{id}","Retrieves a workflow.","n8n-workflow-get","workflow","3","Get a specific workflow by ID.","Resource for workflow management.","path: id","workflow","1. Provide valid workflow ID. 2. Check 200 and workflow data."
"Workflow","updateWorkflow","PUT","/workflows/{id}","Update a workflow.","n8n-workflow-update","workflow","4","Update an existing workflow in n8n.","Resource for workflow management.","path: id, body: updates","workflow","1. Provide ID and update data. 2. Verify changes saved."
"Workflow","deleteWorkflow","DELETE","/workflows/{id}","Deletes a workflow.","n8n-workflow-delete","workflow","5","Delete a workflow by ID.","Resource for workflow management.","path: id","workflow","1. Call with ID. 2. Confirm deletion."
"Workflow","activateWorkflow","POST","/workflows/{id}/activate","Activate a workflow.","n8n-workflow-activate","workflow","6","Activate a workflow for execution.","Resource for workflow management.","path: id","workflow","1. Activate workflow. 2. Verify active status."
"Workflow","deactivateWorkflow","POST","/workflows/{id}/deactivate","Deactivate a workflow.","n8n-workflow-deactivate","workflow","7","Deactivate a workflow to stop execution.","Resource for workflow management.","path: id","workflow","1. Deactivate workflow. 2. Verify inactive status."
"Workflow","transferWorkflow","PUT","/workflows/{id}/transfer","Transfer a workflow to another project.","n8n-workflow-transfer","workflow","8","Transfer workflow ownership between projects.","Resource for workflow management.","path: id, body: destinationProjectId","workflow","1. Transfer to project. 2. Check updated project."
"Workflow","getWorkflowTags","GET","/workflows/{id}/tags","Get workflow tags.","n8n-workflow-tags-get","workflow","9","List tags assigned to a workflow.","Resource for workflow management.","path: id","tagList","1. Get tags for workflow. 2. List assigned tags."
"Workflow","updateWorkflowTags","PUT","/workflows/{id}/tags","Update tags of a workflow.","n8n-workflow-tags-update","workflow","10","Assign or remove tags from a workflow.","Resource for workflow management.","path: id, body: tagIds","workflow","1. Update tags. 2. Verify updated tags."
"Execution","getExecutions","GET","/executions","Retrieve all executions from your instance.","n8n-executions-list","execution","11","List all workflow executions.","Resource for execution tracking.","query: status, workflowId, projectId","executionList","1. Filter executions. 2. Verify list returned."
"Execution","getExecution","GET","/executions/{id}","Retrieve an execution.","n8n-execution-get","execution","12","Get details of a specific execution.","Resource for execution tracking.","path: id, query: includeData","execution","1. Provide execution ID. 2. Check execution data."
